Test Step,Create Time, Query Time, Max Master CPU,Max Master RAM,Max Worker CPU,Max Worker RAM,ACL,Match ACL,Port Group,Address Set
Restart OVN Node Pods Without Large Scale PODs and BANP/ANP/NetPol/EgressFW[Min],24-06-21 07:34:26.524180797,24-06-21 07:34:59.642188526,9%(1478m),13%(8454Mi),15%(540m),10%(1584Mi),7,7,72,73,2146,5550
Restart OVN NODE POD With Large Scale PODs without BANP/ANP/,24-06-21 08:39:08.446439185,24-06-21 08:39:43.434297976,15%(2346m),26%(16817Mi),90%(3179m),24%(3571Mi),7,7,3073,3074,26162,41279
Creating 1 BANP to setup zero trust deny egress/ingress policy.,24-06-21 08:47:26.228935718,24-06-21 08:47:27.414408459,10%(1552m),26%(16284Mi),34%(1215m),25%(3659Mi),8,8,3074,3075,26162,41297
Creating Multi ANP with Multi Rule/25 IP Per Rule,24-06-21 10:05:49.718543995,24-06-21 10:31:58.203493747,84%(13075m),30%(18989Mi),42%(1476m),27%(3966Mi),1208,1208,3374,4275,26162,39968
Creating ANP to Allow Egress to Kube API,24-06-21 11:14:36.535237226,24-06-21 11:14:54.853829157,50%(7838m),30%(18730Mi),36%(1276m),26%(3864Mi),1210,1210,3376,4277,26166,40172
Creating ANP to Allow Monitor ANP ,24-06-21 11:15:44.346794933,24-06-21 11:15:44.616072867,14%(2221m),29%(18352Mi),33%(1175m),26%(3891Mi),1211,1211,3377,4278,26168,65384
Restart OVN Node POD with Large Scale PODs and BANP/ANP,24-06-21 11:40:43.957816943,24-06-21 11:43:28.104569177,62%(9738m),34%(21243Mi),63%(2223m),28%(4163Mi),1211,1211,3377,4278,26168,65346
Creating recycle ns with large network policy,24-06-21 11:52:00.590890875,24-06-21 11:52:33.209331649,102%(15851m),41%(25956Mi),51%(1809m),29%(4250Mi),7331,7331,3427,4470,26168,65349
Creating recycle ns with large network policy[3Min],24-06-21 11:52:00.590890875,24-06-21 11:56:40.960817274,66%(10266m),37%(23282Mi),42%(1471m),28%(4220Mi),7331,7331,3427,4470,26168,65349
Deleting recycle ns with large network policy,24-06-21 12:05:04.755405058,24-06-21 12:05:16.772622429,66%(10332m),36%(22510Mi),41%(1442m),28%(4172Mi),1211,1211,3377,4288,26168,65346
Deleting recycle ns with large network policy[3Min],24-06-21 12:05:04.755405058,24-06-21 12:09:09.207457214,67%(10401m),35%(22319Mi),41%(1459m),28%(4177Mi),1211,1211,3377,4278,26168,65348
Creating 3 netpol in zero-trust-jks with large scale netpol/egrss firewall,24-06-21 12:16:44.717371640,24-06-21 12:16:47.132670203,57%(8974m),38%(24035Mi),39%(1389m),29%(4312Mi),1231,1231,3384,4281,26172,65345
Creating deny all networkpolicy in zero-trust-clt,24-06-21 12:37:38.556648392,24-06-21 12:37:38.888364058,10%(1558m),36%(22523Mi),35%(1242m),29%(4293Mi),1235,1235,3387,4281,26172,65336
Creating deny all networkpolicy in zero-trust-clt[3Min],24-06-21 12:37:38.556648392,24-06-21 12:41:27.489352563,4%(771m),34%(21553Mi),33%(1178m),29%(4284Mi),1235,1235,3387,4281,26172,65378
Creating 3 networkpolicy in zero-trust-clt,24-06-21 12:48:53.592241961,24-06-21 12:48:54.737396125,16%(2622m),35%(22206Mi),33%(1165m),30%(4364Mi),1251,1251,3389,4281,26172,65380
Scaling Pod in zero-trust-clt with large sale netpol/egressfirewall,24-06-21 12:49:44.611843002,24-06-21 12:50:17.234270771,102%(15936m),41%(25721Mi),41%(1463m),30%(4356Mi),1251,1251,3389,4281,26172,65572
